team_name,oppname,outcome,score,venue,ko_year,ko_date,geo_id,geounits
Brazil,Argentina,L,0 - 3,"Gimnasia, Buenos Aires",1914,20 September 1914,Brazil,BRA
USA,Sweden,W,3 - 2,"Stockholms Stadion, Stockholm",1916,20 August 1916,United States of America,"HQI,MQI,FQI,LQI,WQI,BQI,KQI,MNP,JQI,DQI,USA"
Japan,China,L,0 - 5,Tokyo,1917,9 May 1917,Japan,JPN
Paraguay,Argentina,L,1 - 5,"Estadio de Puerto Sajonia, Asunción",1919,11 May 1919,Paraguay,PRY
Spain,Denmark,W,1 - 0,"La Butte, Brussels",1920,28 August 1920,Spain,ESP
Czechoslovakia,Yugoslavia,W,7 - 0,"Bosuilstadion, Antwerp",1920,28 August 1920,Czechoslovakia,"CZE,SVK"
Yugoslavia,Czechoslovakia,L,0 - 7,"Bosuilstadion, Antwerp",1920,28 August 1920,Yugoslavia,"KOS,HRV,SVN,SRB,BIH,MKD,MNE"
Egypt,Italy,L,1 - 2,"Jules Ottenstadion, Ghent",1920,28 August 1920,Egypt,EGY
Estonia,Finland,L,0 - 6,"Töölön Pallokenttä, Helsinki",1920,17 October 1920,Estonia,EST
Suriname,Guyana,L,1 - 2,Dutch Guiana,1921,28 January 1921,Suriname,SUR
Costa Rica,El Salvador,W,7 - 0,Guatemala City,1921,14 September 1921,Costa Rica,CRI
El Salvador,Costa Rica,L,0 - 7,Guatemala City,1921,14 September 1921,El Salvador,SLV
Guatemala,Honduras,W,10 - 1,Guatemala City,1921,14 September 1921,Guatemala,GTM
Honduras,Guatemala,L,1 - 10,Guatemala City,1921,14 September 1921,Honduras,HND
Poland,Hungary,L,0 - 1,"Hungária Körút, Budapest",1921,18 December 1921,Poland,POL
Portugal,Spain,L,1 - 3,"Campo de O'Donnell, Madrid",1921,18 December 1921,Portugal,PRT
Romania,Yugoslavia,W,2 - 1,"Stadion Jugoslavija, Belgrade",1922,8 June 1922,Romania,ROU
New Zealand,Australia,W,3 - 1,"Carisbrook, Dunedin",1922,17 June 1922,New Zealand,"NIU,TKL,NZL"
Australia,New Zealand,L,1 - 3,"Carisbrook, Dunedin",1922,17 June 1922,Australia,AU1
Latvia,Finland,D,1 - 1,"A.S.K. Stadion, Riga",1922,24 September 1922,Latvia,LVA
Mexico,Guatemala,W,3 - 2,"Estadio Marte, Guatemala City",1923,1 January 1923,Mexico,MEX
Lithuania,Estonia,L,0 - 5,"L.F.L.S. Stadionas, Kaunas",1923,24 June 1923,Lithuania,LTU
Turkey,Romania,D,2 - 2,"Taksim Stadium, İstanbul",1923,26 October 1923,Turkey,TUR
Aruba,Curaçao,L,0 - 4,Aruba,1924,6 April 1924,Aruba,ABW
Curaçao,Aruba,W,4 - 0,Aruba,1924,6 April 1924,Curaçao,CUW
Bulgaria,Austria,L,0 - 6,"Simmeringer Sportplatz, Vienna",1924,21 May 1924,Bulgaria,BGR
Republic of Ireland,Bulgaria,W,1 - 0,"Stade Olympique de Colombes, Colombes, Paris",1924,28 May 1924,Ireland,IRL
Canada,Australia,L,2 - 3,Brisbane,1924,7 June 1924,Canada,CAN
